scene_id,video_id,inference_time_ms
nVbIUDjzWY4_scene_19,nVbIUDjzWY4,5.005
0_scene_3550,0,5.0
nVbIUDjzWY4_scene_20,nVbIUDjzWY4,4.514
4ledYpt-QzY_scene_1326,4ledYpt-QzY,3.999
nVbIUDjzWY4_scene_21,nVbIUDjzWY4,4.989
RAidUDTPZ-k_scene_510,RAidUDTPZ-k,4.984
nVbIUDjzWY4_scene_22,nVbIUDjzWY4,4.987
4ledYpt-QzY_scene_1335,4ledYpt-QzY,4.999
nVbIUDjzWY4_scene_23,nVbIUDjzWY4,5.0
lLie9-VS4PI_scene_1165,lLie9-VS4PI,4.999
nVbIUDjzWY4_scene_24,nVbIUDjzWY4,5.0
ZOzvtP1aLwA_scene_2588,ZOzvtP1aLwA,4.0
nVbIUDjzWY4_scene_25,nVbIUDjzWY4,5.001
nVbIUDjzWY4_scene_26,nVbIUDjzWY4,4.999
DUxVMAebfrM_scene_966,DUxVMAebfrM,4.979
bZMricmPA-s_scene_2474,bZMricmPA-s,5.0
nVbIUDjzWY4_scene_27,nVbIUDjzWY4,4.984
nVbIUDjzWY4_scene_28,nVbIUDjzWY4,6.273
QsgohTGrI58_scene_1751,QsgohTGrI58,4.999
nVbIUDjzWY4_scene_29,nVbIUDjzWY4,6.0
AxTouP1JVCo_scene_2776,AxTouP1JVCo,4.999
nVbIUDjzWY4_scene_31,nVbIUDjzWY4,4.966
UHA1Q5JK3_scene_1253,UHA1Q5JK3,6.984
nVbIUDjzWY4_scene_30,nVbIUDjzWY4,7.006
4ledYpt-QzY_scene_1296,4ledYpt-QzY,6.982
nVbIUDjzWY4_scene_33,nVbIUDjzWY4,5.001
w6zbbdK1ewY_scene_361,w6zbbdK1ewY,5.985
nVbIUDjzWY4_scene_32,nVbIUDjzWY4,4.987
nVbIUDjzWY4_scene_34,nVbIUDjzWY4,5.999
OntsMin8brs_scene_3039,OntsMin8brs,6.049
EyP3HVhg1u0_scene_297,EyP3HVhg1u0,5.983
OntsMin8brs_scene_3033,OntsMin8brs,4.001
nVbIUDjzWY4_scene_35,nVbIUDjzWY4,5.985
nVbIUDjzWY4_scene_36,nVbIUDjzWY4,4.999
tTx8mid-aq4_scene_3144,tTx8mid-aq4,5.001
nVbIUDjzWY4_scene_37,nVbIUDjzWY4,4.982
tPwWU4fNH6c_scene_2305,tPwWU4fNH6c,5.984
nVbIUDjzWY4_scene_39,nVbIUDjzWY4,5.984
DUxVMAebfrM_scene_971,DUxVMAebfrM,5.0
nVbIUDjzWY4_scene_38,nVbIUDjzWY4,5.0
nVbIUDjzWY4_scene_40,nVbIUDjzWY4,5.986
UHA1Q5JK3_scene_1177,UHA1Q5JK3,4.004
RAidUDTPZ-k_scene_473,RAidUDTPZ-k,6.988
gUV6SfVV7Kw_scene_1511,gUV6SfVV7Kw,6.138
nVbIUDjzWY4_scene_41,nVbIUDjzWY4,5.983
nVbIUDjzWY4_scene_43,nVbIUDjzWY4,4.983
qouz8wlTuK8_scene_2039,qouz8wlTuK8,4.984
nVbIUDjzWY4_scene_42,nVbIUDjzWY4,6.11
nVbIUDjzWY4_scene_44,nVbIUDjzWY4,4.999
QsgohTGrI58_scene_1773,QsgohTGrI58,5.0
m2YyhYyleII_scene_684,m2YyhYyleII,5.986
nVbIUDjzWY4_scene_46,nVbIUDjzWY4,5.0
xW-tuKGhs8I_scene_3221,xW-tuKGhs8I,7.006
nVbIUDjzWY4_scene_45,nVbIUDjzWY4,4.999
WFr0je02Nzc_scene_1739,WFr0je02Nzc,5.0
CN5CZ827j1c_scene_1129,CN5CZ827j1c,4.999
nVbIUDjzWY4_scene_47,nVbIUDjzWY4,6.003
Omkztpc633o_scene_2419,Omkztpc633o,4.054
nVbIUDjzWY4_scene_48,nVbIUDjzWY4,5.0
M1Ta54rkeQQ_scene_1094,M1Ta54rkeQQ,4.999
nVbIUDjzWY4_scene_49,nVbIUDjzWY4,5.0
nVbIUDjzWY4_scene_50,nVbIUDjzWY4,5.001
bZMricmPA-s_scene_2483,bZMricmPA-s,5.0
QsgohTGrI58_scene_1759,QsgohTGrI58,5.001
nVbIUDjzWY4_scene_51,nVbIUDjzWY4,4.982
nVbIUDjzWY4_scene_53,nVbIUDjzWY4,6.0
0_scene_3673,0,3.999
nVbIUDjzWY4_scene_52,nVbIUDjzWY4,6.004
pHxYQS5MVv4_scene_2259,pHxYQS5MVv4,6.999
HnTLh99gcxY_scene_201,HnTLh99gcxY,5.998
nVbIUDjzWY4_scene_54,nVbIUDjzWY4,6.061
qouz8wlTuK8_scene_2067,qouz8wlTuK8,3.999
nVbIUDjzWY4_scene_55,nVbIUDjzWY4,5.986
nVbIUDjzWY4_scene_57,nVbIUDjzWY4,4.995
xW-tuKGhs8I_scene_3249,xW-tuKGhs8I,6.986
nVbIUDjzWY4_scene_56,nVbIUDjzWY4,4.997
nVbIUDjzWY4_scene_58,nVbIUDjzWY4,6.983
AxTouP1JVCo_scene_2801,AxTouP1JVCo,4.983
hyK61uPB0L8_scene_1975,hyK61uPB0L8,6.984
nVbIUDjzWY4_scene_60,nVbIUDjzWY4,5.002
Omkztpc633o_scene_2351,Omkztpc633o,4.982
nVbIUDjzWY4_scene_59,nVbIUDjzWY4,9.008
OpkZbJypAwc_scene_2821,OpkZbJypAwc,5.987
nVbIUDjzWY4_scene_61,nVbIUDjzWY4,5.141
H3rQxlJm75c_scene_1441,H3rQxlJm75c,5.984
nVbIUDjzWY4_scene_63,nVbIUDjzWY4,4.978
H3rQxlJm75c_scene_1449,H3rQxlJm75c,5.985
nVbIUDjzWY4_scene_62,nVbIUDjzWY4,4.982
M1Ta54rkeQQ_scene_1103,M1Ta54rkeQQ,4.985
RAidUDTPZ-k_scene_495,RAidUDTPZ-k,4.984
nVbIUDjzWY4_scene_64,nVbIUDjzWY4,5.983
nVbIUDjzWY4_scene_66,nVbIUDjzWY4,5.984
Omkztpc633o_scene_2377,Omkztpc633o,4.985
nVbIUDjzWY4_scene_65,nVbIUDjzWY4,4.984
nVbIUDjzWY4_scene_67,nVbIUDjzWY4,4.985
wmbwa9QIkaM_scene_3412,wmbwa9QIkaM,4.988
HnTLh99gcxY_scene_244,HnTLh99gcxY,4.985
nVbIUDjzWY4_scene_69,nVbIUDjzWY4,4.983
0CiHWdGBF-c_scene_2678,0CiHWdGBF-c,5.983
nVbIUDjzWY4_scene_68,nVbIUDjzWY4,4.985
nVbIUDjzWY4_scene_70,nVbIUDjzWY4,4.984
KCs7QyTviag_scene_2964,KCs7QyTviag,4.983
WFr0je02Nzc_scene_1701,WFr0je02Nzc,4.984
nVbIUDjzWY4_scene_71,nVbIUDjzWY4,4.982
rwmt7Cbuvfs_scene_193,rwmt7Cbuvfs,5.984
nVbIUDjzWY4_scene_72,nVbIUDjzWY4,6.003
QsgohTGrI58_scene_1750,QsgohTGrI58,4.999
nVbIUDjzWY4_scene_73,nVbIUDjzWY4,6.006
Notdcs17xbw_scene_1812,Notdcs17xbw,5.984
Notdcs17xbw_scene_1906,Notdcs17xbw,6.013
nVbIUDjzWY4_scene_74,nVbIUDjzWY4,5.996
nVbIUDjzWY4_scene_133,nVbIUDjzWY4,3.998
nVbIUDjzWY4_scene_75,nVbIUDjzWY4,6.0
nVbIUDjzWY4_scene_77,nVbIUDjzWY4,5.002
tYQoPHwNkho_scene_917,tYQoPHwNkho,6.006
nVbIUDjzWY4_scene_76,nVbIUDjzWY4,5.0
hyK61uPB0L8_scene_2026,hyK61uPB0L8,4.999
RAidUDTPZ-k_scene_516,RAidUDTPZ-k,4.969
nVbIUDjzWY4_scene_78,nVbIUDjzWY4,5.983
nVbIUDjzWY4_scene_79,nVbIUDjzWY4,6.984
M1Ta54rkeQQ_scene_1046,M1Ta54rkeQQ,5.001
tPwWU4fNH6c_scene_2308,tPwWU4fNH6c,6.001
nVbIUDjzWY4_scene_80,nVbIUDjzWY4,6.01
nVbIUDjzWY4_scene_81,nVbIUDjzWY4,5.001
HnTLh99gcxY_scene_271,HnTLh99gcxY,7.973
nVbIUDjzWY4_scene_82,nVbIUDjzWY4,6.001
OW2d0-wIECc_scene_3371,OW2d0-wIECc,4.998
nVbIUDjzWY4_scene_83,nVbIUDjzWY4,5.003
nVbIUDjzWY4_scene_84,nVbIUDjzWY4,6.003
JlR_scene_1650,JlR,5.002
M1Ta54rkeQQ_scene_1005,M1Ta54rkeQQ,5.002
nVbIUDjzWY4_scene_85,nVbIUDjzWY4,3.999
nVbIUDjzWY4_scene_87,nVbIUDjzWY4,5.0
bZMricmPA-s_scene_2484,bZMricmPA-s,3.998
nVbIUDjzWY4_scene_86,nVbIUDjzWY4,4.985
WFr0je02Nzc_scene_1741,WFr0je02Nzc,4.987
nVbIUDjzWY4_scene_89,nVbIUDjzWY4,4.987
pHxYQS5MVv4_scene_2250,pHxYQS5MVv4,6.489
nVbIUDjzWY4_scene_88,nVbIUDjzWY4,5.001
JlR_scene_1613,JlR,4.999
nVbIUDjzWY4_scene_90,nVbIUDjzWY4,4.975
ZOzvtP1aLwA_scene_2609,ZOzvtP1aLwA,4.979
nVbIUDjzWY4_scene_91,nVbIUDjzWY4,4.997
WFr0je02Nzc_scene_1728,WFr0je02Nzc,5.983
nVbIUDjzWY4_scene_92,nVbIUDjzWY4,5.984
nVbIUDjzWY4_scene_93,nVbIUDjzWY4,4.984
m2YyhYyleII_scene_778,m2YyhYyleII,5.978
hyK61uPB0L8_scene_1980,hyK61uPB0L8,5.0
nVbIUDjzWY4_scene_94,nVbIUDjzWY4,5.0
XdTzDCE7Gns_scene_2897,XdTzDCE7Gns,3.999
nVbIUDjzWY4_scene_95,nVbIUDjzWY4,5.005
nVbIUDjzWY4_scene_97,nVbIUDjzWY4,4.998
CN5CZ827j1c_scene_1139,CN5CZ827j1c,4.513
nVbIUDjzWY4_scene_96,nVbIUDjzWY4,4.985
lLie9-VS4PI_scene_1161,lLie9-VS4PI,4.982
nVbIUDjzWY4_scene_99,nVbIUDjzWY4,6.001
ZOzvtP1aLwA_scene_2653,ZOzvtP1aLwA,4.998
nVbIUDjzWY4_scene_98,nVbIUDjzWY4,6.004
w6zbbdK1ewY_scene_404,w6zbbdK1ewY,5.001
JlR_scene_1638,JlR,5.0
nVbIUDjzWY4_scene_100,nVbIUDjzWY4,4.999
w6zbbdK1ewY_scene_377,w6zbbdK1ewY,4.982
nVbIUDjzWY4_scene_101,nVbIUDjzWY4,4.999
nVbIUDjzWY4_scene_103,nVbIUDjzWY4,4.978
OW2d0-wIECc_scene_3368,OW2d0-wIECc,5.992
nVbIUDjzWY4_scene_102,nVbIUDjzWY4,5.0
pHxYQS5MVv4_scene_2262,pHxYQS5MVv4,5.488
nVbIUDjzWY4_scene_104,nVbIUDjzWY4,5.0
AxTouP1JVCo_scene_2751,AxTouP1JVCo,5.001
KIyc-P3bVCc_scene_1928,KIyc-P3bVCc,4.998
nVbIUDjzWY4_scene_105,nVbIUDjzWY4,4.984
nVbIUDjzWY4_scene_107,nVbIUDjzWY4,6.0
nVbIUDjzWY4_scene_106,nVbIUDjzWY4,3.999
Omkztpc633o_scene_2386,Omkztpc633o,5.001
nVbIUDjzWY4_scene_108,nVbIUDjzWY4,4.999
OpkZbJypAwc_scene_2819,OpkZbJypAwc,5.985
lLie9-VS4PI_scene_1171,lLie9-VS4PI,4.999
nVbIUDjzWY4_scene_109,nVbIUDjzWY4,5.988
nVbIUDjzWY4_scene_110,nVbIUDjzWY4,4.999
rwmt7Cbuvfs_scene_189,rwmt7Cbuvfs,5.0
nVbIUDjzWY4_scene_112,nVbIUDjzWY4,5.999
w6zbbdK1ewY_scene_368,w6zbbdK1ewY,5.004
nVbIUDjzWY4_scene_111,nVbIUDjzWY4,5.983
nVbIUDjzWY4_scene_113,nVbIUDjzWY4,4.997
R9jKf_scene_3070,R9jKf,4.998
H3rQxlJm75c_scene_1401,H3rQxlJm75c,4.999
nVbIUDjzWY4_scene_115,nVbIUDjzWY4,5.0
H6eyOisPlP4_scene_3181,H6eyOisPlP4,4.001
nVbIUDjzWY4_scene_114,nVbIUDjzWY4,4.999
nVbIUDjzWY4_scene_116,nVbIUDjzWY4,4.996
KawH640l7YM_scene_3767,KawH640l7YM,3.998
nVbIUDjzWY4_scene_117,nVbIUDjzWY4,5.001
OW2d0-wIECc_scene_3363,OW2d0-wIECc,5.0
RAidUDTPZ-k_scene_446,RAidUDTPZ-k,5.011
nVbIUDjzWY4_scene_119,nVbIUDjzWY4,4.981
ZOzvtP1aLwA_scene_2495,ZOzvtP1aLwA,5.5
nVbIUDjzWY4_scene_118,nVbIUDjzWY4,5.0
0CiHWdGBF-c_scene_2717,0CiHWdGBF-c,5.001
nVbIUDjzWY4_scene_121,nVbIUDjzWY4,5.0
QsgohTGrI58_scene_1772,QsgohTGrI58,5.001
nVbIUDjzWY4_scene_120,nVbIUDjzWY4,4.994
RAidUDTPZ-k_scene_529,RAidUDTPZ-k,5.001
nVbIUDjzWY4_scene_123,nVbIUDjzWY4,4.999
KIyc-P3bVCc_scene_1956,KIyc-P3bVCc,3.999
nVbIUDjzWY4_scene_122,nVbIUDjzWY4,6.984
nVbIUDjzWY4_scene_127,nVbIUDjzWY4,5.002
Omkztpc633o_scene_2362,Omkztpc633o,5.004
nVbIUDjzWY4_scene_124,nVbIUDjzWY4,5.003
Notdcs17xbw_scene_1874,Notdcs17xbw,4.005
nVbIUDjzWY4_scene_125,nVbIUDjzWY4,6.501
tTx8mid-aq4_scene_3105,tTx8mid-aq4,3.968
nVbIUDjzWY4_scene_126,nVbIUDjzWY4,4.979
H3rQxlJm75c_scene_1414,H3rQxlJm75c,4.998
nVbIUDjzWY4_scene_128,nVbIUDjzWY4,5.986
xW-tuKGhs8I_scene_3235,xW-tuKGhs8I,7.002
nVbIUDjzWY4_scene_129,nVbIUDjzWY4,6.0
qouz8wlTuK8_scene_2035,qouz8wlTuK8,6.002
nVbIUDjzWY4_scene_131,nVbIUDjzWY4,9.002
nssig0FNZVU_scene_625,nssig0FNZVU,6.998
nVbIUDjzWY4_scene_130,nVbIUDjzWY4,6.998
lLie9-VS4PI_scene_1169,lLie9-VS4PI,8.304
JlR_scene_1640,JlR,6.084
nVbIUDjzWY4_scene_132,nVbIUDjzWY4,5.431
nVbIUDjzWY4_scene_134,nVbIUDjzWY4,6.127
RAidUDTPZ-k_scene_475,RAidUDTPZ-k,9.981
nVbIUDjzWY4_scene_136,nVbIUDjzWY4,4.98
JlR_scene_1644,JlR,5.0
nVbIUDjzWY4_scene_135,nVbIUDjzWY4,6.005
KawH640l7YM_scene_3760,KawH640l7YM,6.004
nVbIUDjzWY4_scene_137,nVbIUDjzWY4,5.003
XdTzDCE7Gns_scene_2888,XdTzDCE7Gns,4.506
u5B1RAufWVM_scene_854,u5B1RAufWVM,6.568
nVbIUDjzWY4_scene_138,nVbIUDjzWY4,6.016
WFr0je02Nzc_scene_1711,WFr0je02Nzc,6.497
nVbIUDjzWY4_scene_139,nVbIUDjzWY4,6.016
nVbIUDjzWY4_scene_141,nVbIUDjzWY4,5.0
xW-tuKGhs8I_scene_3255,xW-tuKGhs8I,5.494
nVbIUDjzWY4_scene_140,nVbIUDjzWY4,5.996
u5B1RAufWVM_scene_846,u5B1RAufWVM,5.99
nVbIUDjzWY4_scene_142,nVbIUDjzWY4,4.981
QsgohTGrI58_scene_1764,QsgohTGrI58,4.988
nVbIUDjzWY4_scene_144,nVbIUDjzWY4,5.009
M1Ta54rkeQQ_scene_1025,M1Ta54rkeQQ,4.989
nVbIUDjzWY4_scene_143,nVbIUDjzWY4,4.987
nVbIUDjzWY4_scene_145,nVbIUDjzWY4,5.992
M1Ta54rkeQQ_scene_1052,M1Ta54rkeQQ,7.023
M1Ta54rkeQQ_scene_1058,M1Ta54rkeQQ,5.001
nVbIUDjzWY4_scene_146,nVbIUDjzWY4,6.516
R9jKf_scene_3056,R9jKf,5.986
nVbIUDjzWY4_scene_147,nVbIUDjzWY4,5.999
w6zbbdK1ewY_scene_362,w6zbbdK1ewY,6.989
nVbIUDjzWY4_scene_148,nVbIUDjzWY4,4.983
RAidUDTPZ-k_scene_503,RAidUDTPZ-k,5.986
nVbIUDjzWY4_scene_149,nVbIUDjzWY4,5.986
AxTouP1JVCo_scene_2764,AxTouP1JVCo,6.983
nVbIUDjzWY4_scene_150,nVbIUDjzWY4,4.998
nVbIUDjzWY4_scene_152,nVbIUDjzWY4,4.982
tPwWU4fNH6c_scene_2330,tPwWU4fNH6c,3.998
nVbIUDjzWY4_scene_151,nVbIUDjzWY4,4.985
nVbIUDjzWY4_scene_153,nVbIUDjzWY4,5.001
HnTLh99gcxY_scene_247,HnTLh99gcxY,5.523
nVbIUDjzWY4_scene_154,nVbIUDjzWY4,5.984
KawH640l7YM_scene_3722,KawH640l7YM,4.983
bZMricmPA-s_scene_2468,bZMricmPA-s,4.983
nVbIUDjzWY4_scene_156,nVbIUDjzWY4,4.987
lLie9-VS4PI_scene_1170,lLie9-VS4PI,4.985
nVbIUDjzWY4_scene_155,nVbIUDjzWY4,4.998
w6zbbdK1ewY_scene_347,w6zbbdK1ewY,6.996
tYQoPHwNkho_scene_886,tYQoPHwNkho,4.985
nVbIUDjzWY4_scene_157,nVbIUDjzWY4,5.984
OpkZbJypAwc_scene_2820,OpkZbJypAwc,5.984
nVbIUDjzWY4_scene_158,nVbIUDjzWY4,4.987
nVbIUDjzWY4_scene_160,nVbIUDjzWY4,5.985
XdTzDCE7Gns_scene_2858,XdTzDCE7Gns,6.002
nVbIUDjzWY4_scene_159,nVbIUDjzWY4,5.004
nVbIUDjzWY4_scene_162,nVbIUDjzWY4,4.998
WFr0je02Nzc_scene_1733,WFr0je02Nzc,5.0
nVbIUDjzWY4_scene_161,nVbIUDjzWY4,6.0
m2YyhYyleII_scene_794,m2YyhYyleII,5.001
nVbIUDjzWY4_scene_163,nVbIUDjzWY4,5.0
wmbwa9QIkaM_scene_3434,wmbwa9QIkaM,4.999
Omkztpc633o_scene_2380,Omkztpc633o,4.987
nVbIUDjzWY4_scene_164,nVbIUDjzWY4,4.983
m2YyhYyleII_scene_783,m2YyhYyleII,5.986
nVbIUDjzWY4_scene_165,nVbIUDjzWY4,4.988
ZKUqNG25_scene_2088,ZKUqNG25,4.999
nVbIUDjzWY4_scene_166,nVbIUDjzWY4,5.989
JlR_scene_1619,JlR,4.999
nVbIUDjzWY4_scene_167,nVbIUDjzWY4,5.522
qouz8wlTuK8_scene_2045,qouz8wlTuK8,4.982
rwmt7Cbuvfs_scene_168,rwmt7Cbuvfs,5.999
rwmt7Cbuvfs_scene_169,rwmt7Cbuvfs,5.0
tPwWU4fNH6c_scene_2335,tPwWU4fNH6c,4.997
rwmt7Cbuvfs_scene_171,rwmt7Cbuvfs,3.974
KawH640l7YM_scene_3762,KawH640l7YM,5.0
rwmt7Cbuvfs_scene_170,rwmt7Cbuvfs,4.999
rwmt7Cbuvfs_scene_172,rwmt7Cbuvfs,4.998
gUV6SfVV7Kw_scene_1484,gUV6SfVV7Kw,5.0
rwmt7Cbuvfs_scene_173,rwmt7Cbuvfs,4.001
rwmt7Cbuvfs_scene_174,rwmt7Cbuvfs,6.002
OpkZbJypAwc_scene_2845,OpkZbJypAwc,3.981
OntsMin8brs_scene_3012,OntsMin8brs,6.007
rwmt7Cbuvfs_scene_175,rwmt7Cbuvfs,4.508
rwmt7Cbuvfs_scene_176,rwmt7Cbuvfs,4.999
rwmt7Cbuvfs_scene_178,rwmt7Cbuvfs,4.001
HnTLh99gcxY_scene_207,HnTLh99gcxY,6.0
rwmt7Cbuvfs_scene_177,rwmt7Cbuvfs,5.999
RAidUDTPZ-k_scene_441,RAidUDTPZ-k,5.002
rwmt7Cbuvfs_scene_180,rwmt7Cbuvfs,5.002
DUxVMAebfrM_scene_964,DUxVMAebfrM,5.0
rwmt7Cbuvfs_scene_179,rwmt7Cbuvfs,5.003
rwmt7Cbuvfs_scene_181,rwmt7Cbuvfs,5.001
lLie9-VS4PI_scene_1162,lLie9-VS4PI,4.977
rwmt7Cbuvfs_scene_182,rwmt7Cbuvfs,4.986
ZOzvtP1aLwA_scene_2665,ZOzvtP1aLwA,4.999
rwmt7Cbuvfs_scene_183,rwmt7Cbuvfs,14.012
M1Ta54rkeQQ_scene_1009,M1Ta54rkeQQ,12.994
CN5CZ827j1c_scene_1122,CN5CZ827j1c,6.96
gUV6SfVV7Kw_scene_1557,gUV6SfVV7Kw,8.995
rwmt7Cbuvfs_scene_184,rwmt7Cbuvfs,6.997
lLie9-VS4PI_scene_1157,lLie9-VS4PI,6.984
rwmt7Cbuvfs_scene_185,rwmt7Cbuvfs,8.984
KawH640l7YM_scene_3774,KawH640l7YM,5.01
rwmt7Cbuvfs_scene_186,rwmt7Cbuvfs,4.984
OntsMin8brs_scene_3008,OntsMin8brs,6.514
rwmt7Cbuvfs_scene_187,rwmt7Cbuvfs,4.984
rwmt7Cbuvfs_scene_188,rwmt7Cbuvfs,4.987
ZOzvtP1aLwA_scene_2597,ZOzvtP1aLwA,4.988
rwmt7Cbuvfs_scene_191,rwmt7Cbuvfs,4.986
Notdcs17xbw_scene_1818,Notdcs17xbw,5.988
rwmt7Cbuvfs_scene_190,rwmt7Cbuvfs,4.985
rwmt7Cbuvfs_scene_192,rwmt7Cbuvfs,4.984
RAidUDTPZ-k_scene_489,RAidUDTPZ-k,4.995
rwmt7Cbuvfs_scene_194,rwmt7Cbuvfs,4.981
qouz8wlTuK8_scene_2043,qouz8wlTuK8,4.986
w6zbbdK1ewY_scene_401,w6zbbdK1ewY,4.987
rwmt7Cbuvfs_scene_195,rwmt7Cbuvfs,4.006
w6zbbdK1ewY_scene_385,w6zbbdK1ewY,4.984
bZMricmPA-s_scene_2485,bZMricmPA-s,4.984
rwmt7Cbuvfs_scene_196,rwmt7Cbuvfs,5.004
RAidUDTPZ-k_scene_432,RAidUDTPZ-k,5.894
HnTLh99gcxY_scene_198,HnTLh99gcxY,5.004
HnTLh99gcxY_scene_200,HnTLh99gcxY,5.001
u5B1RAufWVM_scene_848,u5B1RAufWVM,6.0
HnTLh99gcxY_scene_199,HnTLh99gcxY,6.004
0CiHWdGBF-c_scene_2677,0CiHWdGBF-c,5.0
lLie9-VS4PI_scene_1158,lLie9-VS4PI,6.002
M1Ta54rkeQQ_scene_1088,M1Ta54rkeQQ,7.003
HnTLh99gcxY_scene_202,HnTLh99gcxY,6.001
CN5CZ827j1c_scene_1143,CN5CZ827j1c,4.98
HnTLh99gcxY_scene_203,HnTLh99gcxY,5.004
HnTLh99gcxY_scene_204,HnTLh99gcxY,6.506
pHxYQS5MVv4_scene_2254,pHxYQS5MVv4,5.002
HnTLh99gcxY_scene_205,HnTLh99gcxY,5.001
4ledYpt-QzY_scene_1316,4ledYpt-QzY,5.002
HnTLh99gcxY_scene_206,HnTLh99gcxY,5.001
HnTLh99gcxY_scene_229,HnTLh99gcxY,6.002
HnTLh99gcxY_scene_208,HnTLh99gcxY,4.98
tPwWU4fNH6c_scene_2314,tPwWU4fNH6c,6.001
tYQoPHwNkho_scene_884,tYQoPHwNkho,5.001
hyK61uPB0L8_scene_2010,hyK61uPB0L8,5.999
HnTLh99gcxY_scene_209,HnTLh99gcxY,5.0
Notdcs17xbw_scene_1860,Notdcs17xbw,6.0
HnTLh99gcxY_scene_210,HnTLh99gcxY,3.999
HnTLh99gcxY_scene_211,HnTLh99gcxY,5.001
HnTLh99gcxY_scene_212,HnTLh99gcxY,5.0
bZMricmPA-s_scene_2445,bZMricmPA-s,5.062
HnTLh99gcxY_scene_213,HnTLh99gcxY,4.983
u5B1RAufWVM_scene_861,u5B1RAufWVM,5.002
OpkZbJypAwc_scene_2815,OpkZbJypAwc,5.0
HnTLh99gcxY_scene_214,HnTLh99gcxY,5.0
tYQoPHwNkho_scene_903,tYQoPHwNkho,6.001
HnTLh99gcxY_scene_215,HnTLh99gcxY,5.0
HnTLh99gcxY_scene_216,HnTLh99gcxY,4.999
ZOzvtP1aLwA_scene_2576,ZOzvtP1aLwA,5.002
HnTLh99gcxY_scene_217,HnTLh99gcxY,5.001
bZMricmPA-s_scene_2454,bZMricmPA-s,5.001
H6eyOisPlP4_scene_3190,H6eyOisPlP4,6.002
HnTLh99gcxY_scene_218,HnTLh99gcxY,5.004
HnTLh99gcxY_scene_220,HnTLh99gcxY,6.003
HnTLh99gcxY_scene_219,HnTLh99gcxY,4.174
HnTLh99gcxY_scene_221,HnTLh99gcxY,5.0
RAidUDTPZ-k_scene_487,RAidUDTPZ-k,5.0
HnTLh99gcxY_scene_222,HnTLh99gcxY,5.999
AxTouP1JVCo_scene_2732,AxTouP1JVCo,4.0
KCs7QyTviag_scene_2966,KCs7QyTviag,6.0
wmbwa9QIkaM_scene_3456,wmbwa9QIkaM,5.998
HnTLh99gcxY_scene_223,HnTLh99gcxY,7.002
HnTLh99gcxY_scene_225,HnTLh99gcxY,5.978
Omkztpc633o_scene_2394,Omkztpc633o,6.003
HnTLh99gcxY_scene_224,HnTLh99gcxY,5.0
4ledYpt-QzY_scene_1297,4ledYpt-QzY,6.009
EyP3HVhg1u0_scene_322,EyP3HVhg1u0,5.998
HnTLh99gcxY_scene_226,HnTLh99gcxY,5.0
u5B1RAufWVM_scene_819,u5B1RAufWVM,4.0
